best_tour_length,best_tour
833.392652419413,"[30, 65, 90, 18, 70, 86, 62, 19, 74, 88, 51, 58, 14, 22, 23, 49, 33, 44, 42, 6, 72, 50, 40, 28, 26, 52, 3, 41, 45, 85, 20, 31, 1, 12, 68, 87, 60, 11, 79, 21, 55, 82, 84, 16, 78, 43, 59, 10, 5, 29, 36, 7, 13, 38, 66, 75, 27, 77, 4, 56, 39, 92, 73, 35, 89, 71, 94, 9, 91, 81, 17, 99, 98, 53, 95, 64, 15, 37, 97, 2, 63, 47, 32, 24, 67, 96, 80, 46, 69, 25, 0, 48, 34, 61, 93, 57, 8, 83, 76, 54]"
776.3124806643366,"[0, 17, 83, 27, 81, 31, 3, 48, 99, 51, 42, 72, 45, 25, 82, 80, 79, 70, 54, 1, 12, 13, 21, 84, 32, 74, 94, 40, 93, 88, 18, 37, 19, 23, 10, 56, 76, 77, 43, 47, 2, 5, 64, 73, 6, 50, 22, 41, 16, 78, 52, 39, 8, 98, 53, 96, 71, 87, 89, 29, 15, 20, 44, 85, 58, 59, 91, 55, 62, 9, 14, 90, 95, 33, 63, 36, 30, 57, 61, 11, 4, 60, 35, 28, 67, 49, 7, 92, 69, 68, 66, 97, 75, 65, 86, 46, 34, 24, 26, 38]"
946.6285977775203,"[22, 29, 96, 6, 0, 45, 95, 53, 62, 85, 60, 16, 34, 74, 12, 50, 78, 83, 68, 52, 35, 51, 15, 18, 41, 88, 98, 43, 23, 24, 10, 84, 75, 30, 49, 66, 31, 71, 79, 26, 48, 7, 57, 40, 55, 86, 72, 63, 25, 90, 89, 73, 4, 77, 17, 80, 54, 38, 93, 64, 44, 87, 20, 82, 67, 3, 70, 59, 46, 19, 94, 9, 81, 27, 36, 39, 13, 14, 58, 5, 97, 28, 8, 65, 42, 92, 91, 2, 1, 21, 33, 61, 56, 76, 32, 37, 11, 69, 47, 99]"
849.3336236999323,"[99, 90, 5, 81, 78, 79, 60, 97, 26, 1, 41, 11, 47, 68, 83, 12, 48, 91, 62, 76, 14, 21, 63, 85, 59, 52, 31, 6, 20, 93, 15, 3, 38, 28, 57, 8, 19, 24, 36, 43, 33, 50, 80, 32, 65, 22, 56, 35, 89, 94, 66, 64, 84, 72, 54, 98, 51, 42, 77, 10, 86, 73, 67, 37, 39, 61, 71, 17, 82, 29, 92, 30, 40, 49, 34, 70, 45, 18, 53, 88, 44, 0, 27, 13, 55, 25, 69, 87, 74, 96, 4, 75, 95, 23, 16, 9, 46, 2, 58, 7]"
896.742719563644,"[8, 17, 35, 3, 36, 61, 64, 75, 98, 74, 92, 21, 95, 18, 55, 62, 69, 80, 58, 19, 29, 43, 1, 34, 99, 38, 97, 9, 50, 11, 78, 22, 48, 33, 23, 54, 0, 40, 94, 91, 47, 93, 76, 14, 89, 2, 44, 13, 77, 16, 81, 90, 73, 42, 82, 20, 88, 86, 31, 63, 65, 87, 10, 68, 67, 45, 41, 26, 83, 70, 56, 7, 66, 46, 72, 49, 5, 85, 57, 24, 79, 28, 27, 37, 32, 52, 12, 30, 15, 71, 84, 59, 60, 25, 6, 53, 51, 4, 96, 39]"
850.4152779519546,"[96, 45, 59, 65, 14, 41, 80, 40, 8, 76, 10, 29, 4, 1, 73, 56, 48, 54, 78, 81, 72, 20, 58, 84, 88, 82, 34, 93, 92, 74, 28, 85, 0, 37, 52, 57, 53, 94, 32, 49, 95, 38, 50, 17, 30, 66, 36, 3, 19, 43, 9, 23, 2, 44, 99, 35, 16, 21, 27, 67, 11, 7, 55, 75, 46, 97, 89, 15, 91, 86, 42, 77, 13, 31, 39, 25, 22, 87, 5, 90, 6, 68, 26, 60, 64, 98, 83, 18, 12, 63, 79, 24, 70, 69, 71, 51, 33, 62, 47, 61]"
868.9332537025274,"[45, 85, 37, 42, 84, 51, 55, 89, 40, 0, 23, 50, 1, 52, 77, 49, 74, 64, 34, 63, 99, 54, 25, 96, 70, 58, 3, 88, 47, 5, 20, 11, 59, 81, 75, 66, 46, 8, 44, 56, 36, 38, 9, 31, 7, 28, 10, 2, 62, 65, 91, 72, 78, 93, 79, 21, 41, 18, 71, 97, 57, 4, 80, 39, 35, 26, 90, 16, 86, 87, 53, 17, 60, 73, 33, 94, 95, 68, 14, 24, 98, 69, 13, 6, 82, 48, 83, 92, 19, 76, 15, 67, 61, 12, 30, 27, 29, 32, 22, 43]"
831.0460873260622,"[58, 33, 90, 93, 21, 62, 52, 30, 99, 13, 26, 87, 56, 28, 84, 27, 68, 1, 46, 63, 85, 9, 54, 17, 86, 70, 81, 96, 42, 57, 14, 91, 71, 94, 8, 72, 19, 18, 32, 64, 55, 35, 4, 41, 39, 66, 98, 34, 77, 89, 12, 38, 79, 76, 73, 7, 22, 95, 74, 11, 0, 5, 29, 60, 61, 15, 40, 36, 16, 75, 97, 82, 59, 20, 6, 80, 83, 44, 51, 24, 78, 88, 47, 3, 31, 2, 53, 67, 92, 50, 48, 43, 69, 25, 23, 65, 10, 37, 49, 45]"
873.1016810658335,"[7, 97, 53, 33, 86, 37, 3, 5, 35, 73, 21, 39, 50, 81, 85, 41, 74, 43, 45, 52, 82, 36, 17, 19, 30, 61, 32, 59, 34, 99, 71, 44, 69, 93, 1, 63, 31, 27, 48, 64, 51, 24, 49, 90, 42, 84, 13, 98, 29, 75, 10, 20, 58, 92, 15, 96, 12, 87, 95, 26, 67, 66, 94, 57, 88, 78, 16, 72, 54, 11, 68, 65, 8, 76, 83, 22, 62, 38, 25, 79, 40, 55, 89, 9, 28, 2, 70, 77, 14, 47, 4, 6, 46, 60, 80, 91, 56, 18, 0, 23]"
808.6714817165984,"[71, 75, 81, 99, 26, 31, 8, 40, 64, 11, 43, 54, 1, 35, 2, 48, 59, 79, 52, 12, 67, 5, 60, 14, 16, 86, 80, 21, 94, 9, 13, 69, 19, 3, 96, 15, 89, 51, 78, 47, 82, 92, 46, 42, 83, 63, 76, 23, 36, 41, 97, 90, 4, 98, 10, 87, 68, 0, 32, 29, 28, 49, 53, 7, 27, 34, 84, 45, 72, 93, 88, 44, 25, 91, 74, 55, 62, 85, 65, 73, 22, 30, 70, 61, 24, 17, 57, 39, 37, 20, 58, 66, 38, 95, 56, 33, 50, 18, 6, 77]"
